"Author","Quote"
"William Shakespeare","He that is giddy thinks the world turns round."
"Ellen Gilchrist","Don't ruin the present with the ruined past."
"Albert Schweitzer","Do something wonderful, people may imitate it."
"","We do what we do because we believe."
"Eleanor Roosevelt","Do one thing every day that scares you."
"Byron Pulsifer","If you cannot be silent be brilliant and thoughtful."
"Carl Jung","Who looks outside, dreams; who looks inside, awakes."
"Buddha","What we think, we become."
"Lord Herbert","The shortest answer is doing."
"Leonardo da Vinci","All our knowledge has its origins in our perceptions."
"","The harder you fall, the higher you bounce."
"Anne Wilson Schaef","Trusting our intuition often saves us from disaster."
"Sojourner Truth","Truth is powerful and it prevails."
"Elizabeth Browning","Light tomorrow with today!"
"German proverb","Silence is a fence around wisdom."
"Madame de Stael","Society develops wit, but its contemplation alone forms genius."
"Richard Bach","The simplest things are often the truest."
"","Everyone smiles in the same language."
"Bernadette Devlin","Yesterday I dared to struggle. Today I dare to win."
"Napoleon Hill","No alibi will save you from accepting the responsibility."
"Walt Disney","If you can dream it, you can do it."
"Buddha","It is better to travel well than to arrive."
"Anais Nin","Life shrinks or expands in proportion to one's courage."
"Sun Tzu","You have to believe in yourself."
"Wayne Dyer","Our intention creates our reality."
"Confucius","Silence is a true friend who never betrays."
"Johann Wolfgang von Goethe","Character develops itself in the stream of life."
"American proverb","From little acorns mighty oaks do grow."
"Jon Kabat-Zinn","You can't stop the waves, but you can learn to surf."
"Gustave Flaubert","Reality does not conform to the ideal, but confirms it."
"William Shakespeare","Speak low, if you speak love."
"Johann Wolfgang von Goethe","A really great talent finds its happiness in execution."
"John Lennon","Reality leaves a lot to the imagination."
"Seneca","The greatest remedy for anger is delay."
"Pearl Buck","Growth itself contains the germ of happiness."
"Leonardo da Vinci","Nothing strengthens authority so much as silence."
"Confucius","Wherever you go, go with all your heart."
"Albert Einstein","The only real valuable thing is intuition."
"Ralph Emerson","Good luck is another name for tenacity of purpose."
"Sylvia Voirol","Rainbows apologize for angry skies."
"","Friendship isn't a big thing. It's a million little things."
"Theophrastus","Time is the most valuable thing a man can spend."
"Tony Robbins","Whatever happens, take responsibility."
"Oscar Wilde","Experience is simply the name we give our mistakes."
"Wayne Dyer","I think and that is all that I am."
"Gloria Steinem","If the shoe doesn't fit, must we change the foot?"
"Marcus Aurelius","Each day provides its own gifts."
"Publilius Syrus","While we stop to think, we often miss our opportunity."
"Bernard Shaw","Life isn't about finding yourself. Life is about creating yourself."
"Richard Bach","To bring anything into your life, imagine that it's already there."
"German proverb","Begin to weave and God will give you the thread."
"Confucius","The more you know yourself, the more you forgive yourself."
"Mary Bethune","Without faith, nothing is possible. With it, nothing is impossible."
"Albert Einstein","Once we accept our limits, we go beyond them."
"","Don't be pushed by your problems; be led by your dreams."
"Brian Tracy","Whatever we expect with confidence becomes our own self-fulfilling prophecy."
"Pablo Picasso","Everything you can imagine is real."
"Usman Asif","Fear is a darkroom where negatives develop."
"Napoleon Bonaparte","The truest wisdom is a resolute determination."
"Victor Hugo","Life is the flower for which love is the honey."
"Epictetus","Freedom is the right to live as we wish."
"","Change your thoughts, change your life!"
"Robert Heller","Never ignore a gut feeling, but never believe that it's enough."
"Marcus Aurelius","Loss is nothing else but change,and change is Natures delight."
"Byron Pulsifer","Someone is special only if you tell them."
"Thich Nhat Hanh","There is no way to happiness, happiness is the way."
"Lao Tzu","He who talks more is sooner exhausted."
"Lao Tzu","He who is contented is rich."
"Plutarch","What we achieve inwardly will change outer reality."
"Ralph Waldo Emerson","Our strength grows out of our weaknesses."
"Mahatma Gandhi","We must become the change we want to see."
"Napoleon Hill","Happiness is found in doing, not merely possessing."
"","Put your future in good hands : your own."
"Wit","We choose our destiny in the way we treat others."
"Voltaire","No snowflake in an avalanche ever feels responsible."
"Virgil","Fortune favours the brave."
"Joseph Stalin","I believe in one thing only, the power of human will."
"Robert Frost","The best way out is always through."
"Seneca","The mind unlearns with difficulty what it has long learned."
"Abraham Lincoln","I destroy my enemies when I make them my friends."
"Thomas Fuller","No garden is without its weeds."
"Elbert Hubbard","There is no failure except in no longer trying."
"Turkish proverb","Kind words will unlock an iron door."
"Hugh Miller","Problems are only opportunities with thorns on them."
"A. Powell Davies","Life is just a chance to grow a soul."
"Johann Wolfgang von Goethe","Mountains cannot be surmounted except by winding paths."
"Thich Nhat Hanh","May our hearts garden of awakening bloom with hundreds of flowers."
"John Dryden","Fortune befriends the bold."
"Friedrich von Schiller","Keep true to the dreams of thy youth."
"Mike Ditka","You're never a loser until you quit trying."
"Immanuel Kant","Science is organized knowledge. Wisdom is organized life."
"Johann Wolfgang von Goethe","Knowing is not enough; we must apply!"
"Richard Bach","Strong beliefs win strong men, and then make them stronger."
"Albert Camus","Autumn is a second spring when every leaf is a flower."
"Toni Morrison","If you surrender to the wind, you can ride it."
"Helen Keller","Keep yourself to the sunshine and you cannot see the shadow."
"Paulo Coelho","Write your plans in pencil and give God the eraser."
"Pablo Picasso","Inspiration exists, but it has to find us working."
"Jonathan Kozol","Pick battles big enough to matter, small enough to win."
"Janis Joplin","Don't compromise yourself. You are all you've got."
"Sophocles","A short saying oft contains much wisdom."
"Epictetus","Difficulties are things that show a person what they are."
"Honore de Balzac","When you doubt your power, you give power to your doubt."
"Ovid","The cause is hidden. The effect is visible to all."
"Francis Bacon","A prudent question is one half of wisdom."
"Tony Robbins","The path to success is to take massive, determined action."
"Manuel Puig","I allow my intuition to lead my path."
"William R. Inge","Nature takes away any faculty that is not used."
"Epictetus","If you wish to be a writer, write."
"Wayne Dyer","There is no way to prosperity, prosperity is the way."
"Jim Rohn","Either you run the day or the day runs you."
"Publilius Syrus","Better be ignorant of a matter than half know it."
"Oprah Winfrey","Follow your instincts. That is where true wisdom manifests itself."
"Benjamin Franklin","There never was a good knife made of bad steel."
"Anatole France","To accomplish great things, we must dream as well as act."
"Saint Augustine","Patience is the companion of wisdom."
"Buddha","The mind is everything. What you think you become."
"Voltaire","To enjoy life, we must touch much of it lightly."
"Maya Lin","To fly, we have to have resistance."
"Blaise Pascal","The heart has its reasons which reason knows not of."
"William Shakespeare","Be great in act, as you have been in thought."
"Napoleon Bonaparte","Imagination rules the world."
"Blaise Pascal","Kind words do not cost much. Yet they accomplish much."
"Michelangelo","There is no greater harm than that of time wasted."
"Jonas Salk","Intuition will tell the thinking mind where to look next."
"","Worry gives a small thing a big shadow."
"Napoleon Hill","Fears are nothing more than a state of mind."
"Lao Tzu","The journey of a thousand miles begins with one step."
"Peter Drucker","Efficiency is doing things right; effectiveness is doing the right things."
"Luisa Sigea","Blaze with the fire that is never extinguished."
"Dr. Seuss","Don't cry because it's over. Smile because it happened."
"Jason Fried","No is easier to do. Yes is easier to say."
"Confucius","To be wrong is nothing unless you continue to remember it."
"Babe Ruth","Yesterdays home runs don't win today's games."
"Carlyle","Silence is deep as Eternity, Speech is shallow as Time."
"Leo F. Buscaglia","Don't smother each other. No one can grow in the shade."
"Lao Tzu","An ant on the move does more than a dozing ox"
"Indira Gandhi","You can't shake hands with a clenched fist."
"Plato","A good decision is based on knowledge and not on numbers."
"Confucius","The cautious seldom err."
"Frederick Douglass","If there is no struggle, there is no progress."
"Willa Cather","Where there is great love, there are always miracles."
"John Lennon","Time you enjoy wasting, was not wasted."
"Richard Bach","Every problem has a gift for you in its hands."
"Jean de la Fontaine","Sadness flies away on the wings of time."
"Publilius Syrus","I have often regretted my speech, never my silence."
"Thomas Jefferson","Never put off till tomorrow what you can do today."
"Thomas Dewar","Minds are like parachutes. They only function when open."
"George Patton","If a man does his best, what else is there?"
"Benjamin Disraeli","The secret of success is constancy to purpose."
"Ralph Emerson","Life is a progress, and not a station."
"Horace Friess","All seasons are beautiful for the person who carries happiness within."
"Elbert Hubbard","To avoid criticism, do nothing, say nothing, be nothing."
"Ovid","All things change; nothing perishes."
"Haynes Bayly","Absence makes the heart grow fonder."
"Lauren Bacall","Imagination is the highest kite one can fly."
